Countries,Count,Region
Eritrea,4,Africa (excl MENA)
Ethiopia,3,Africa (excl MENA)
Kenya,1,Africa (excl MENA)
Libya,16,Middle East and North Africa
Mali,2,Africa (excl MENA)
Mopti,1,Africa (excl MENA)
Niger,1,Africa (excl MENA)
North Korea,3,Cross-regional
Ogaden,1,Africa (excl MENA)
Philippines,2,Asia and Pacific
Russia,1,Cross-regional
Somalia,2,Africa (excl MENA)
South Korea,2,Asia and Pacific
South Sudan,4,Africa (excl MENA)
Syria,11,Middle East and North Africa
Turkey,1,Cross-regional
Ukraine,2,Europe and Eurasia
United States of America,1,Cross-regional
Yemen,6,Middle East and North Africa
